rank,name,points,division
175,Pierre Charpentier,341,MEN
176,Chasteau Amaury,340,MEN
177,rahmouni cedric,338,MEN
178,Wan Richie,330,MEN
178,Philippe Eric,330,MEN
180,Robin Strasser,326,MEN
181,payet romain,324,MEN
182,GARCIA William,321,MEN
183,Jeewon Zaïd Muhammad,320,MEN
184,Ah Choon Andry,315,MEN
185,Gangloff Alexis,314,MEN
186,Marti Michael,311,MEN
187,Desvaux de Marigny Amaury,310,MEN
188,langlois louis,306,MEN
189,Rasamimanana Megane,305,MEN
190,Steenkamp Barry,301,MEN
190,Thomas D’unienville,301,MEN
192,Lan Gary,299,MEN
193,Lagesse Simon,290,MEN
194,MERVEN Yannick,289,MEN
195,Gary Ah Waye,285,MEN
196,Wiehe Tristan,281,MEN
196,Maxime Huyse,281,MEN
198,Rharbaoui Hicham,276,MEN
198,Foo-Kune Bryan,276,MEN
198,yannick garcia,276,MEN
201,Delache Matthieu,275,MEN
202,Bax Yanick,273,MEN
203,Alexis Yon,269,MEN
204,Axel Bourdet,264,MEN
205,Reid-Ross Jonathan,263,MEN
205,Constantin Luca,263,MEN
207,De Coriolis Bertrand,260,MEN
207,Lioong Keith,260,MEN
209,GIS Pejaire,254,MEN
210,Yew-Hin Yannick,247,MEN
211,RAFFRAY Cedrick,241,MEN
211,Samuel Soussi,241,MEN
211,Beltrando Romain,241,MEN
214,Chummun Normann,238,MEN
215,Lacoste Loick,236,MEN
216,Goupille Marc,235,MEN
217,Dindoyal Amrit,233,MEN
218,Boyer Kevin,231,MEN
218,Laheurte Pascal,231,MEN
220,Damien Gouron,226,MEN
221,Marot Charles,225,MEN
222,Pilot Yannick,222,MEN
223,Glass Richard,215,MEN
224,Burnett Paul,209,MEN
225,Leong Warren,206,MEN
226,Francois Audibert,205,MEN
227,Robert Richard,199,MEN
228,philippe Cavaignac,198,MEN
229,Coline Aumard,190,MEN
230,Marie Nicolas,189,MEN
231,Tagg Jonathan,187,MEN
232,GERY Alexandre,183,MEN
233,Lamusse Fabrice,181,MEN
233,Bee Noa,181,MEN
235,Maingard Amedee,180,MEN
236,Marmin Laurent,179,MEN
237,Desvaux de Marigny A R Amaury,175,MEN
237,Mike Guedj,175,MEN
239,Fortunato Riccardo,174,MEN
239,Thibaud Pontone,174,MEN
241,blanco mikel,171,MEN
242,devinaz jimmy,170,MEN
243,Sebastien Motte,168,MEN
244,blanco Sébastien,166,MEN
245,Manuel Didier,164,MEN
246,Boncoeur Loïc,162,MEN
247,Hannelas Laurent,158,MEN
248,Jules Doger de Speville,157,MEN
248,Thierry Bindini,157,MEN
250,Kattic Fabien,156,MEN
251,Labour Emanuel,155,MEN
251,GARCIA Enzo,155,MEN
253,Julien Darpoux,154,MEN
253,Veeren Enzo,154,MEN
253,Émile Gustin,154,MEN
256,Nicolas Sobrido,153,MEN
257,Zinno Matteo,150,MEN
257,Gerard André,150,MEN
257,Montocchio Jean Philippe,150,MEN
260,Siqueira Wilson,148,MEN
261,Bernard Leclézio,147,MEN
261,Corfu nicolas,147,MEN
263,Harel Brice,146,MEN
264,Guerin Florian,145,MEN
264,Mersch Florian,145,MEN
266,Giraud Romain,143,MEN
266,Moores Jason,143,MEN
268,Alexis Lavie,141,MEN
268,Maurel David,141,MEN
268,Mamet Gontran,141,MEN
271,Lincoln Olivier,140,MEN
271,Mathieu Jonathan. E,140,MEN
271,Jeudy Laurent,140,MEN
271,Adam Thierry,140,MEN
275,Sylvain Nguyen,139,MEN
276,Sohawon Adam,138,MEN
276,Paillusseau PIERRE LOUIS,138,MEN
276,Oosthuizen Handre,138,MEN
276,Gaëlle Rey,138,MEN
276,Pinto David,138,MEN
281,Laporte Eric,137,MEN
282,Hugnin Francois,136,MEN
283,Daruty Laurent,135,MEN
284,Quirin Pascal,133,MEN
284,Desvaux de Marigny Jean Philippe,133,MEN
286,Helsen Alexandre,131,MEN
287,Cavelli Luigi,129,MEN
288,emmanuel menager,126,MEN
289,Guillaume Antonini,125,MEN
290,Barfoot Ty,124,MEN
290,Gustin Alain,124,MEN
292,De mezieres lepervanche Yannick,122,MEN
293,Clarenc Jerome,121,MEN
293,Buesa Camille,121,MEN
295,Arthur BERTEL,117,MEN
296,Jugdarree Pamela Paquita,115,MEN
297,Watson Wesley Howard,114,MEN
298,AMARGOS Thomas,113,MEN
298,Desvaux de Marigny Guillaume,113,MEN
298,Hasham Sibtain,113,MEN
298,Pieric Lopez,113,MEN
298,Toulet Enzo,113,MEN
303,Baumgartner Jonathan,111,MEN
304,Hoffmann Pascal,110,MEN
305,GALLET Samuel,109,MEN
306,Danjoux Alice,108,MEN
307,Duval Herve,105,MEN
307,Steyn Damien,105,MEN
309,Maurel Michel,104,MEN
309,Olsen Nils,104,MEN
311,Lefebure Guillaume,103,MEN
312,pinagapamy nicholas,102,MEN
313,Serge Grigorieff,100,MEN
313,Sylvain Liotard,100,MEN
313,Galushin Dmitry,100,MEN
313,Dulthummon Dean,100,MEN
313,Clarenc Romain,100,MEN
313,Lesne Lucien,100,MEN
313,burnichon sylvain,100,MEN
320,Ollivier Franck,99,MEN
321,Li Dean,98,MEN
322,Joganah Vigeshwah Naidu Avinash,97,MEN
322,Armanini Douglas,97,MEN
324,Lan Jean Christophe,94,MEN
324,Edouard Bizot,94,MEN
326,de Ricquebourg Lois,92,MEN
327,Savreux Benjamin,91,MEN
328,Driver Jeffrey,90,MEN
328,Hugo Marcille,90,MEN
328,Lecler Elodie,90,MEN
328,DEGUIGNE Jennifer,90,MEN
332,Bosquet Bruno,89,MEN
333,Adam Cedric,88,MEN
333,Giraud Marinne,88,MEN
333,Constantin Pascal,88,MEN
336,Hardy Dominick,87,MEN
337,Menager Edwin,86,MEN
338,Espitalier-Noël Johan,85,MEN
339,Dala Ibrahim,84,MEN
339,Lajolie Jimmy,84,MEN
341,Runghen Jean Pierre,83,MEN
342,Hugo dns Daunois,81,MEN
342,Koenig Hubert,81,MEN
342,quinta christophe,81,MEN
345,Tom Le Run,80,MEN
345,Dupré Samuel,80,MEN
345,Peersaib Mohammad,80,MEN
345,Victor Bohbot,80,MEN
349,Poelmann Lloyd,77,MEN
350,Novopashin Dmitry,76,MEN
350,Kevin Blanc,76,MEN
352,Doherty-Bigara Dane,75,MEN
352,Saffy Dean,75,MEN
354,BAQUE Franck,74,MEN
354,Bertrand Vercamer,74,MEN
356,Permalloo Hans,73,MEN
356,Nowicki Thomas,73,MEN
356,Max Schaffo,73,MEN
359,Labuschagne Werner,72,MEN
359,Hola Martina,72,MEN
361,Wiehe Nick,71,MEN
361,Geoffroy Frederic,71,MEN
363,Dulmar Javed,70,MEN
363,Gray Sheldon,70,MEN
363,Glazio Antoine,70,MEN
363,Witek Benjamin,70,MEN
367,Kong Tin Lun Tony,69,MEN
368,Li Daryl,68,MEN
368,Blanche Nicolas,68,MEN
368,Gallet David,68,MEN
368,Pelissier Lévi,68,MEN
372,Gelle Thomas,67,MEN
373,Pascal Mungly,66,MEN
373,faragher simon,66,MEN
375,Eric Hochedez,65,MEN
376,Clarenc Pierre,64,MEN
376,BAYSE Emmanuel,64,MEN
378,Thirion Dian,63,MEN
378,Arnaud Boullé,63,MEN
378,Malet Romain,63,MEN
378,jeremy noel,63,MEN
378,Lancelot Guyon,63,MEN
383,Kampel Vadim,62,MEN
383,Parasuraman Poubalen,62,MEN
385,Maxime Savreux,60,MEN
385,Ng Chun Hing Sebastien,60,MEN
387,Percival Max,59,MEN
388,Li Darren,58,MEN
389,Guez Paul,57,MEN
389,Hugues Trijasse,57,MEN
391,Lee Tin Chin Timothy,56,MEN
391,Ollivier Maé,56,MEN
393,tabibi hirad,55,MEN
393,Koenig Laura,55,MEN
393,Dufourq Loic,55,MEN
396,Keeve Retief,54,MEN
396,keeve john,54,MEN
396,Albert Vincent,54,MEN
396,Tom Schaffo,54,MEN
396,Sailly Kevin,54,MEN
396,Soret Ludovic,54,MEN
402,thomas brunet,53,MEN
402,Fortunato Tommaso,53,MEN
402,Fon Sing Clifford,53,MEN
405,Ritter Mathias,52,MEN
405,Adrian Huggett,52,MEN
407,Garry Auroy,51,MEN
408,Cartwright Dudley,50,MEN
408,Clément Sanglé-Ferrière,50,MEN
408,Stéphane Payet,50,MEN
408,Pellegrin Pierre,50,MEN
408,Valroff Maxime,50,MEN
413,Hocquez Fabien,49,MEN
413,Antoine Fréville,49,MEN
415,Lai Cheong Julian,48,MEN
415,Putteea Gregori Damien,48,MEN
415,Pesce Marcos,48,MEN
415,Durand Fabrice,48,MEN
419,Rusmaully Nawaz,47,MEN
420,Bezuidenhout Cayla,46,MEN
420,Adrien Schwarz,46,MEN
420,Lavictoire Yannick,46,MEN
423,Preston Justin,45,MEN
423,TIPVEAU Sébastien,45,MEN
423,DORSEUIL Stéphane,45,MEN
423,Goutard Aymeric,45,MEN
427,Lotter Casper,44,MEN
427,Magaly Schaffo,44,MEN
429,Foo Kune Kate,43,MEN
429,Mathieu Barrandon,43,MEN
431,Marie Lagesse,42,MEN
431,Éric Thoreux,42,MEN
431,Lam Kenny,42,MEN
434,Dautelle Martin,41,MEN
434,Guillaume palmieri,41,MEN
434,Elie Mathieu,41,MEN
437,Brousse Amaury,40,MEN
437,Veltri Joaco,40,MEN
437,Colombier Thomas,40,MEN
437,Fabio Fernandes,40,MEN
437,Thomas Maujean,40,MEN
442,Piminov Igor,39,MEN
442,Ruiters Jeremy,39,MEN
442,Joris Guyot,39,MEN
445,STONE KEVIN,38,MEN
445,Martin ratinaud,38,MEN
445,Da silva Jérémie,38,MEN
445,Arnaud D’unienville,38,MEN
445,HIRIGOYEN Lucas,38,MEN
445,Julien Ribet,38,MEN
445,Leung Tony,38,MEN
452,Schmid Rolph,37,MEN
452,Hagen Tom,37,MEN
452,Clarenc Anthony,37,MEN
452,Bathfield Samuel,37,MEN
456,William Watt,36,MEN
456,de Gersigny Samuel,36,MEN
456,Simon Mike Ben,36,MEN
456,Ferrera Romain,36,MEN
456,Miotto Adrian,36,MEN
456,Delerue Gabriel,36,MEN
456,Safir Koukeb,36,MEN
456,Fournier Fabien,36,MEN
464,leach craig,35,MEN
464,Raphael Baya,35,MEN
464,Jeremy Nobels,35,MEN
464,Olivier lieonkao,35,MEN
464,Sychev Dmitrii,35,MEN
469,Bachellerie Antonin,34,MEN
470,Kan Wah Andrew,33,MEN
470,Rogers Christopher,33,MEN
472,Smith Bradley,32,MEN
472,Poreema Yanish,32,MEN
472,Gubinelli Stefano,32,MEN
472,Soodun Esteban,32,MEN
472,HENRI Mahe,32,MEN
472,Martinet Jean David,32,MEN
478,Jauffret Sébastien,31,MEN
478,Tintin Laurent,31,MEN
478,Mousseron Thomas,31,MEN
478,Thibaut Bosquillon de jenlis,31,MEN
478,Hurdowar Alexandre Roger,31,MEN
478,Turner Sean,31,MEN
478,Kenny G Eugenie,31,MEN
485,Robert Larry,30,MEN
485,Mathieu Pandion,30,MEN
485,Albert Nicholas,30,MEN
485,Pierre Vigier de Latour,30,MEN
485,derek li kam wa,30,MEN
485,Lagesse Loic,30,MEN
491,Lourens Thys,29,MEN
491,De Chalain Herbert,29,MEN
491,Ziganek Michael,29,MEN
491,Lacide Jean-Michel,29,MEN
491,Nicolas Rey (2),29,MEN
491,Jagloo Kelvin,29,MEN
497,Bacha Krsna,28,MEN
497,HENRI Jean Francois,28,MEN
497,Fayolle Jean Luc,28,MEN
497,Petrochenko Sergei,28,MEN
497,Lungut Shehriad,28,MEN
497,Perraudin Patrice,28,MEN
497,Mulot David,28,MEN
497,Wong Adrien,28,MEN
497,Bertrand de Boisset,28,MEN
497,Thomas Renneteau,28,MEN
497,Fanchette Mahe,28,MEN
497,Senaffe Paul,28,MEN
509,Vinson Denis,27,MEN
509,Pliez Romain,27,MEN
509,Richard Jean Francois,27,MEN
509,De Maroussem Samuel,27,MEN
509,Erwan Coince,27,MEN
514,Mayer Vincent,26,MEN
514,Lagesse Matayas,26,MEN
514,Nayan Reza Alimamod,26,MEN
514,Hazim karim,26,MEN
518,Saddul Yushna,25,MEN
518,Hardy Loic,25,MEN
518,Alexandre Gellé,25,MEN
518,Randriamanalina Jean marc,25,MEN
518,Ravier Victor,25,MEN
518,Gallet Romain,25,MEN
518,Rosette Dominique,25,MEN
518,Danjoux Guy,25,MEN
518,HIPPERT Gaspard,25,MEN
518,luigi mourouvin,25,MEN
518,ALPHONSE David,25,MEN
518,Holy Martin,25,MEN
518,Holy Stepan,25,MEN
518,Samuelson Alex,25,MEN
518,Boulle Fabien,25,MEN
533,Desai Dhruv,24,MEN
533,Koenig Denis-Claude,24,MEN
535,Leconte Milan,23,MEN
535,Verguin Olivier,23,MEN
535,Li Query Shona,23,MEN
535,Ternel Pierre Yves Maxwell,23,MEN
535,Espitalier Noël Romain,23,MEN
540,Coombes David,22,MEN
540,Meunier Hardy,22,MEN
540,Park Theo,22,MEN
540,Valentin Petton,22,MEN
540,Jones Michael,22,MEN
540,Nu Nam Young Ryan Darryl,22,MEN
540,Aldric Meneghel,22,MEN
547,Raso Hervé,21,MEN
547,Ulysse Herve,21,MEN
547,Poilly Ludovic,21,MEN
547,Romain Da Silva,21,MEN
551,Mamet Clea,20,MEN
551,Cockrell Michael,20,MEN
551,Lam cheuk wah Calvin,20,MEN
551,Arzam Khan Amir,20,MEN
551,Gujadhur Viv,20,MEN
551,Lagesse Remor,20,MEN
558,Smith Jean paul,19,MEN
558,Parmar Anuj,19,MEN
558,Bosseler Antoine,19,MEN
558,Feugier Nicolas,19,MEN
558,Nicolas Aznavour,19,MEN
558,Grigorev Aleksei,19,MEN
558,Frédéric olivier,19,MEN
565,Gossart Laetitia,18,MEN
565,Xavier Auguet,18,MEN
565,gasco Christophe,18,MEN
565,Sauzier Maxime,18,MEN
565,HERVÉ Félix,18,MEN
565,Petersen Alistair,18,MEN
565,Forest Sébastien,18,MEN
565,Virgile Henaut,18,MEN
565,Fabrice HENAUT,18,MEN
565,Gebert Gregory,18,MEN
565,De Bragrd Hardy Mahe,18,MEN
565,Chaton yan,18,MEN
565,Sauzier Thomas,18,MEN
565,Gallot Simon Mourot,18,MEN
565,Gallot Samuel Mourot,18,MEN
580,Gellé Dimitri,17,MEN
580,Ah choon Laisa,17,MEN
580,Gaiani Nicolas,17,MEN
580,BADOURALY YASSINE,17,MEN
580,Djani Pascual,17,MEN
580,Nicolas D’UNIENVILLE,17,MEN
580,Romain De Braekeleer,17,MEN
580,Merven Luc,17,MEN
588,Fortunato Sara,16,MEN
588,De Senneville Thibaud,16,MEN
588,BERTEL Guillaume,16,MEN
588,Desai Yash,16,MEN
588,Jules Bellec,16,MEN
588,Oxenham O’Leary,16,MEN
588,Fong yong Shane,16,MEN
588,Lam Matthew,16,MEN
588,GUILLAMOT MIKAEL,16,MEN
588,Nicolas Thomas,16,MEN
588,Bathfield Pictor,16,MEN
588,Espitalier Noel Fabien,16,MEN
588,Dupont Dimitri,16,MEN
601,Velvendron Thierry Clovis Pascal,15,MEN
601,Iramon Atish,15,MEN
601,Roussel Neville,15,MEN
601,Jerome Gillyboeuf,15,MEN
601,Koenig Jean-Yves,15,MEN
601,Vincent Olivier,15,MEN
601,Rabenantenaina Yassir mamod,15,MEN
601,Nathanael Aharfi,15,MEN
601,Guillaume DORZA,15,MEN
601,Koenig Adrien,15,MEN
601,Xavier Estrem,15,MEN
601,Josiah Santos,15,MEN
601,Schlebusch Andrew,15,MEN
601,Thomas Romeo,15,MEN
601,Jean Ader,15,MEN
601,Payet Olivier,15,MEN
601,Aaron af.aaronfournier@gmail.com,15,MEN
601,David Paucot,15,MEN
601,Hippert Baptiste,15,MEN
620,Rossignol Raphaël,14,MEN
620,Damien Huntzinget,14,MEN
620,Groenewald Eugene,14,MEN
620,cocogne adrien,14,MEN
620,Francois Van Derton,14,MEN
620,Valentin Guilhamat,14,MEN
620,Keenoo Sarvish,14,MEN
627,Cruciani Valentina,13,MEN
627,Need Farah,13,MEN
627,Stacherski Greg,13,MEN
627,elliot park,13,MEN
627,Garnier Paul,13,MEN
627,gevers Guillaume,13,MEN
627,Vyravene Owen,13,MEN
627,Pervenche Quenette,13,MEN
627,André Jordan,13,MEN
627,Sébastien Convert,13,MEN
627,Alleaume Enzo,13,MEN
627,Jeanne Thierry,13,MEN
627,Bernard Gallet,13,MEN
627,Yaz Rujbally,13,MEN
627,Lan Daryl,13,MEN
627,Aurelien Pruvost,13,MEN
643,Nash Laura,12,MEN
643,Park Christopher,12,MEN
643,Wei Philips,12,MEN
643,Angoh Stephanie,12,MEN
643,Roussel Damien,12,MEN
643,Fabrizio Ferrari,12,MEN
643,Pruvost Aurelien,12,MEN
643,Francke Jonathan,12,MEN
643,Lacide Thomas,12,MEN
643,Ribaud Matthieu,12,MEN
643,hathiramani kavi,12,MEN
643,Stopforth Lee,12,MEN
643,BACZKOWSKI Arthur,12,MEN
643,Dufourq Tom,12,MEN
643,Bowers Isaak,12,MEN
643,Hatt Frederic,12,MEN
659,Eric Cheveau,11,MEN
659,Duddle Mike,11,MEN
659,Azoulay Ami,11,MEN
659,Gooljar kevin,11,MEN
659,Noël louis,11,MEN
659,maxime paris,11,MEN
659,Vasilev Sergei,11,MEN
659,Gregory Nicolin,11,MEN
659,Alcaraz Jordan,11,MEN
668,Lagesse Boris,10,MEN
668,Frédéric De Coriolis,10,MEN
668,Lai Christopher,10,MEN
668,Schroder Kai,10,MEN
668,Merrick Jordin,10,MEN
668,zalagh mehdi,10,MEN
668,Hernandez Warren,10,MEN
668,Burnett Wayne,10,MEN
668,PREVOST Gwenn,10,MEN
668,Adoue Jeremy,10,MEN
668,Bestel Clement,10,MEN
668,Anthony Rakotorahalahy,10,MEN
668,Sébastien Andriantsoa,10,MEN
668,Piat Max,10,MEN
668,De Chalain Hugo,10,MEN
668,Lamvohee Loic,10,MEN
668,Lamvohee Thomas,10,MEN
668,Piat Luc,10,MEN
668,Stoeckel Lars,10,MEN
668,Vallaee Daniel,10,MEN
668,Gray Jonathan,10,MEN
668,Bernard Lopez,10,MEN
668,Olivier de Preville,10,MEN
668,Kenny Fong,10,MEN
692,Parsons Grant,9,MEN
692,Parsons Joshua,9,MEN
692,Kevin Lennon,9,MEN
692,Kidd Michael,9,MEN
692,Rous Nicholas,9,MEN
692,jerome rohrmann,9,MEN
692,Lamusse Nathan,9,MEN
692,Masson Florent,9,MEN
692,Perrin Baptiste,9,MEN
692,Samuel Obert,9,MEN
692,Driver Gregory,9,MEN
692,Mohabeer Jaykishen,9,MEN
692,Georges Guigui,9,MEN
705,Schroder Charmaine,8,MEN
705,Perrier Nicolas,8,MEN
705,ERIC VALLIMAMODE,8,MEN
705,Charles Tom,8,MEN
705,Dehez Mathis,8,MEN
705,Boubée Xavier,8,MEN
705,Biroli francesco,8,MEN
705,Desjardins Didier,8,MEN
705,corneillet Emmanuel,8,MEN
705,Lopez Jérôme,8,MEN
705,Lisandro Lopez Masse,8,MEN
716,Jean Dupuis,7,MEN
716,Ducasse Daniel,7,MEN
716,Pierre Louis Emmanuel,7,MEN
716,Ramburn Rahul,7,MEN
716,Marie Alexandre,7,MEN
716,Alexander Pregizer,7,MEN
716,Pougnet Warren,7,MEN
716,Oxenham Peter,7,MEN
716,Tang Kan Andy,7,MEN
716,Sookia Zayan,7,MEN
716,Gellé Brice,7,MEN
727,Yadav Abhimanyu,6,MEN
727,Ludovino Enzo,6,MEN
727,ludovino helder,6,MEN
727,HAZEBROUCK Johan,6,MEN
727,Aurelien Ricard,6,MEN
727,Dansant Emmanuel,6,MEN
727,Hardy Guillaume,6,MEN
727,Hardy Axel,6,MEN
727,Moyer Jean-Baptiste,6,MEN
727,Ismael Jehann,6,MEN
727,Regnard Fabien,6,MEN
727,Gourel de St-Pern Yvanh,6,MEN
727,Gallot Estelle,6,MEN
727,Padovani Yves,6,MEN
741,Corbett Murray,5,MEN
741,de Robillard Jean-Marc,5,MEN
741,MATHIEU AYMARD,5,MEN
741,Boulle Julien,5,MEN
741,Bell Michael,5,MEN
741,Thomas Toby,5,MEN
741,Kulisich Titan,5,MEN
741,Guillaume Holl,5,MEN
741,Manning Kevin,5,MEN
741,Damien Cally,5,MEN
741,Ter-Abramian Robert,5,MEN
741,Bagatta Louis,5,MEN
741,Domun Rushil,5,MEN
741,Domun Raj,5,MEN
741,Kinnoo Bhavesh,5,MEN
741,Gallet Luc André,5,MEN
741,Dip Soohinesh,5,MEN
741,Samouilhan Romain,5,MEN
759,Park Cécile,4,MEN
759,Grimal Rodolphe,4,MEN
759,Slome Dylan,4,MEN
759,Bardet Charlotte,4,MEN
759,BERGERE Etienne,4,MEN
759,miguel rey,4,MEN
759,Loik Payet,4,MEN
759,Richard Nicolas,4,MEN
759,Richard Gilbert,4,MEN
759,Benade Kevin,4,MEN
759,jean-philippe GOIX,4,MEN
759,Salehmohamed Hishaam,4,MEN
759,Jamot Michael,4,MEN
759,Lasson Mathieu,4,MEN
759,Duhaut Patrick,4,MEN
774,Navarrini Nicolo,3,MEN
774,Gabillon Maxence,3,MEN
774,Buzanov Alex,3,MEN
774,Steingo Brett,3,MEN
774,BENOISTON Thierry,3,MEN
774,GALLAND Remi,3,MEN
774,korten mark,3,MEN
774,Olivier Lamanthe,3,MEN
774,Kupper Kayden,3,MEN
774,Ribi Cedric,3,MEN
774,Lafon Charlie,3,MEN
774,Narayanin Guillaume,3,MEN
774,Fontaine David,3,MEN
774,Waller Toni,3,MEN
774,Adrien D’unienville,3,MEN
